entry_date,exit_date,side,entry_price,exit_price,quantity,leverage,exit_reason,pnl_percent,pnl_amount,fees,balance
2024-12-06 02:29:54.066307,2024-12-06 13:29:54.066307,BUY,4830.063478284041,4839.50581667897,0.03105549247425004,3,Reverse Signal,0.5864729379261242,0.6544894795374641,0.2252199273517223,10000.654489479537
2024-12-07 06:29:54.066307,2024-12-07 15:29:54.066307,BUY,5097.313447131037,5964.828977710431,0.029427266256193397,3,Take Profit,51.05722099948543,76.34168504135334,0.24414645787480704,10076.996174520891
2024-12-07 23:29:54.066307,2024-12-08 10:29:54.066307,SELL,5944.599808560379,6321.826171411444,0.025232985370015334,3,Reverse Signal,-19.037094590010064,-28.787780795486345,0.2321389104712538,10048.208393725405
2024-12-09 17:29:54.066307,2024-12-09 20:29:54.066307,SELL,7988.606156003396,8514.339249160568,0.018776742409221888,3,Reverse Signal,-19.743109732431357,-29.847068264796697,0.2324036661496618,10018.361325460608
2024-12-11 17:29:54.066307,2024-12-11 19:29:54.066307,SELL,20202.059740289154,21909.56772887217,0.007424985468231915,3,Stop Loss,-25.35644400423761,-38.26917467285801,0.23450866650158908,9980.09215078775
2024-12-14 03:29:54.066307,2024-12-14 13:29:54.066307,SELL,66071.66472692075,71945.27245863935,0.00227026215579646,3,Stop Loss,-26.66925870262844,-40.23888902595615,0.2350009720134857,9939.853261761795
2024-12-14 15:29:54.066307,2024-12-15 00:29:54.066307,BUY,81473.45438383111,93718.42651497328,0.0018410904647952228,3,Take Profit,45.088202864658186,67.39039622091303,0.2419080760742468,10007.243657982708
2024-12-16 21:29:54.066307,2024-12-16 23:29:54.066307,SELL,242864.4031575865,265117.8325369017,0.0006176285945975791,3,Stop Loss,-27.488708625045856,-41.46837120330317,0.23530826573439223,9965.775286779404
2025-01-07 20:29:54.066307,2025-01-08 01:29:54.066307,SELL,54069347315757.32,60467357977927.25,2.7742151042442083e-12,3,Stop Loss,-35.49891563221461,-53.486685541684,0.23831209336208048,9912.28860123772
2025-01-08 02:29:54.066307,2025-01-08 07:29:54.066307,BUY,62744033941026.87,78645081387945.73,2.390665543452068e-12,3,Take Profit,76.02817247229082,113.78874814375912,0.2535105646771091,10026.07734938148
2025-01-09 05:29:54.066307,2025-01-09 09:29:54.066307,SELL,116285661827775.12,125614221660793.1,1.2899268718284245e-12,3,Stop Loss,-24.066320008138316,-36.33350488221053,0.23402487000305186,9989.74384449927
2025-01-09 12:29:54.066307,2025-01-09 23:29:54.066307,BUY,135338685942755.44,151639599615692.53,1.1083305483211643e-12,3,Reverse Signal,36.13360117852467,53.96185166734506,0.23855010044194674,10043.705696166615
2025-01-10 02:29:54.066307,2025-01-10 03:29:54.066307,BUY,161186999118867.47,158823271453216.94,9.305961449743375e-13,3,Reverse Signal,-4.399351706847148,-6.822377803380654,0.22335024310993234,10036.883318363234
2025-01-10 05:29:54.066307,2025-01-10 11:29:54.066307,BUY,172086987213562.38,198727580781517.84,8.716521942118022e-13,3,Take Profit,46.44266367722642,69.42157951696068,0.24241599887895993,10106.304897880194
2025-01-10 23:29:54.066307,2025-01-11 00:29:54.066307,SELL,225207026500326.8,231569469336977.25,6.660538187061509e-13,3,Reverse Signal,-8.475458695301239,-12.941366339962595,0.228178297010738,10093.363531540232
2025-01-11 02:29:54.066307,2025-01-11 06:29:54.066307,SELL,230991343339649.0,254476425726084.7,6.493749844964555e-13,3,Stop Loss,-30.50125002117931,-45.98831300052691,0.23643796875794226,10047.375218539704
2025-01-11 10:29:54.066307,2025-01-11 15:29:54.066307,SELL,249566130189704.1,267394684140938.5,6.010430978193221e-13,3,Stop Loss,-21.431458592977688,-32.38022468643889,0.23303679697236662,10014.994993853265
2025-01-12 12:29:54.066307,2025-01-12 15:29:54.066307,BUY,292578706004739.2,282906632085003.7,5.126825600136816e-13,3,Reverse Signal,-9.917407235623122,-15.097391825721322,0.22128097228664134,9999.897602027544
