entry_date,entry_price,exit_date,exit_price,side,quantity,pnl,roi,exit_reason,leverage
2024-09-05 06:32:35,53343.08891568933,2024-09-06 01:32:35,52691.72875650702,BUY,0.005356163122946768,-17.443956321845125,-0.17443956321845125,signal_reverse,5
2024-09-06 01:32:35,52691.72875650702,2024-09-06 12:32:35,44787.96944303097,SELL,0.005412915721179692,213.91191522167472,2.139119152216747,take_profit,5
2024-09-08 11:32:35,43887.63887619405,2024-09-08 17:32:35,40815.504154860464,BUY,0.006638034385727488,-101.9646795889983,-1.019646795889983,stop_loss,5
2024-09-08 19:32:35,39790.40481549617,2024-09-09 13:32:35,33821.84409317174,SELL,0.007248339913761296,216.31078455666056,2.1631078455666053,take_profit,5
2024-09-10 07:32:35,31950.52125448298,2024-09-11 08:32:35,36743.099442655424,BUY,0.009220340575749964,220.94601565430312,2.2094601565430314,take_profit,5
2024-09-12 01:32:35,38411.620213401926,2024-09-13 01:32:35,37325.48599200536,SELL,0.007833760439464415,42.542576477624635,0.42542576477624633,signal_reverse,5
2024-09-13 01:32:35,37325.48599200536,2024-09-13 16:32:35,37675.0862485928,BUY,0.008094279953736318,14.148811743584114,0.14148811743584114,signal_reverse,5
2024-09-13 16:32:35,37675.0862485928,2024-09-13 22:32:35,40312.3422859943,SELL,0.0080299002581303,-105.88451467743002,-1.0588451467743,stop_loss,5
2024-09-14 15:32:35,36755.756241250965,2024-09-15 11:32:35,39328.659178138536,SELL,0.008148435607715764,-104.82566953065573,-1.0482566953065573,stop_loss,5
2024-09-16 11:32:35,37819.9872131377,2024-09-16 12:32:35,36246.27916241445,BUY,0.007839952249171682,-61.68897985903648,-0.6168897985903649,signal_reverse,5
2024-09-16 12:32:35,36246.27916241445,2024-09-16 14:32:35,37192.98486958997,SELL,0.008131713332915862,-38.491697106933536,-0.38491697106933537,signal_reverse,5
2024-09-16 14:32:35,37192.98486958997,2024-09-17 07:32:35,34589.47592871867,BUY,0.007895160600546592,-102.77560606568949,-1.027756060656895,stop_loss,5
2024-09-17 18:32:35,36562.0503091116,2024-09-18 11:32:35,37980.54234107924,BUY,0.007951089734129991,56.39278716661569,0.5639278716661569,signal_reverse,5
2024-09-18 11:32:35,37980.54234107924,2024-09-19 04:32:35,40639.18030495479,SELL,0.007696555850542129,-102.31177787669873,-1.0231177787669874,stop_loss,5
2024-09-19 23:32:35,35890.58897257382,2024-09-20 00:32:35,35721.65723028477,BUY,0.008063288455074426,-6.8107268364746325,-0.06810726836474632,signal_reverse,5
