entry_date,entry_price,exit_date,exit_price,side,quantity,pnl,roi,exit_reason,leverage
2024-09-04 15:32:35,52320.34338151218,2024-09-05 03:32:35,51232.85259967355,SELL,0.005460864116102967,29.6931969356768,0.296931969356768,stop_loss,5
2024-09-05 07:32:35,51849.390701858654,2024-09-06 02:32:35,50271.400569405974,BUY,0.00552682797021408,-43.606400003806456,-0.43606400003806456,stop_loss,5
2024-09-06 03:32:35,50064.38712511845,2024-09-06 17:32:35,49365.49556470303,SELL,0.005698996472553934,19.914902687525885,0.19914902687525887,stop_loss,5
2024-09-08 12:32:35,43769.5447021403,2024-09-08 17:32:35,40705.67657299048,BUY,0.006531613814851697,-100.06001699619398,-1.0006001699619398,stop_loss,5
2024-09-08 18:32:35,40682.38701805165,2024-09-10 15:32:35,33004.43478464813,SELL,0.00695698866175725,267.07713316651024,2.6707713316651023,stop_loss,5
2024-09-10 18:32:35,33186.78328529325,2024-09-12 08:32:35,37043.261593827476,BUY,0.008758236010777808,168.87973598293982,1.6887973598293982,stop_loss,5
2024-09-12 10:32:35,36689.6422067506,2024-09-13 00:32:35,37018.06328946648,SELL,0.00805357583210681,-13.224820472574905,-0.13224820472574905,stop_loss,5
2024-09-13 03:32:35,37763.91445459591,2024-09-14 15:32:35,36755.756241250965,BUY,0.007814469660083556,-39.39110885374072,-0.3939110885374072,signal_reverse,5
2024-09-14 15:32:35,36755.756241250965,2024-09-15 11:32:35,39328.659178138536,SELL,0.007998189496330738,-102.89282622446338,-1.0289282622446339,stop_loss,5
2024-09-15 13:32:35,38009.45286115623,2024-09-15 22:32:35,36205.01972814128,BUY,0.007657034936193735,-69.08303769760496,-0.6908303769760497,signal_reverse,5
2024-09-15 22:32:35,36205.01972814128,2024-09-16 14:32:35,37192.98486958997,SELL,0.00798413892761184,-39.44025472482029,-0.39440254724820295,signal_reverse,5
2024-09-16 14:32:35,37192.98486958997,2024-09-17 04:32:35,35625.137384131645,BUY,0.007741756784923308,-60.689469541359685,-0.6068946954135969,signal_reverse,5
2024-09-17 04:32:35,35625.137384131645,2024-09-17 20:32:35,37051.38699145753,SELL,0.008033795211387517,-57.290986327890224,-0.5729098632789023,signal_reverse,5
2024-09-17 20:32:35,37051.38699145753,2024-09-19 08:32:35,36380.577687745026,BUY,0.007680364917610638,-25.7603012132018,-0.257603012132018,stop_loss,5
2024-09-19 10:32:35,36735.286884592926,2024-09-20 07:32:35,38279.8502504,SELL,0.007726417520124377,-59.66970725257022,-0.5966970725257023,signal_reverse,5
