entry_date,entry_price,exit_date,exit_price,side,quantity,pnl,roi,exit_reason,regime,leverage
96,41171.77229605292,103,40051.60815947365,SELL,0.0323846475139758,181.38060360458311,1.813806036045831,stop_loss,trending_down,5
133,39540.07472624397,138,40248.34925593023,BUY,0.034332697224593596,121.58487489804949,1.215848748980495,stop_loss,trending_up,5
155,38661.66622371143,157,38656.47611868801,SELL,0.03553206223751687,0.9220756735562472,0.009220756735562472,stop_loss,trending_down,5
160,40009.40952809273,162,40135.82341260103,BUY,0.03433821418747766,21.704135212585314,0.21704135212585315,stop_loss,trending_up,5
163,37785.40724354531,167,36771.84937043194,SELL,0.03643590631990261,184.64949857279277,1.8464949857279276,stop_loss,trending_down,5
177,39935.58442704929,181,39336.55066064355,BUY,0.03509064689633132,-105.10241187961567,-1.0510241187961566,stop_loss,trending_up,5
243,48446.03087275107,244,46992.64994656854,SELL,0.0286370588429622,208.10277552164007,2.0810277552164007,take_profit,trending_down,5
244,46949.206270087314,248,44083.20285210903,SELL,0.030141060647680403,431.9219141887135,4.319219141887135,stop_loss,trending_down,5
270,46832.69932755694,272,46913.10880871117,BUY,0.03144573093695438,12.642674545780242,0.12642674545780241,stop_loss,trending_up,5
285,42896.0523547451,286,43539.493140066275,SELL,0.03437085864806835,-110.57806140338086,-1.1057806140338087,stop_loss,trending_down,5
286,44503.32897655,288,43168.2291072535,SELL,0.032798229797455225,218.94456157869527,2.1894456157869526,signal_reverse,trending_up,5
288,41355.09579787031,290,41789.304789288726,BUY,0.0135003588132039,29.309885920340083,0.29309885920340084,stop_loss,volatile,5
326,36999.3015705735,327,36777.30576115006,BUY,0.060517264116887556,-67.17289515860244,-0.6717289515860245,stop_loss,quiet,5
423,27199.78874155848,426,27592.13257623897,BUY,0.054550961097587156,107.01366631266802,1.0701366631266802,stop_loss,trending_up,5
439,27426.591775970544,442,27365.576751248576,SELL,0.05462009711529451,16.66323287902996,0.1666323287902996,stop_loss,trending_up,5
457,27980.72208710748,460,28072.866930081243,SELL,0.08042670589728192,-37.05453092901101,-0.3705453092901101,stop_loss,quiet,5
477,29066.703654962792,480,28976.986517879595,BUY,0.051444576734786994,-23.07730071550955,-0.23077300715509552,stop_loss,trending_up,5
499,29014.073354211,500,28839.988914085734,BUY,0.07714776592855078,-67.15112819293388,-0.6715112819293388,stop_loss,quiet,5
501,28124.96125511045,505,28261.814266112702,SELL,0.05273940809954855,-36.087733984498655,-0.36087733984498654,stop_loss,trending_down,5
541,31170.982678072527,543,31336.528324301493,SELL,0.047431360339907094,-39.260275994944294,-0.39260275994944294,stop_loss,trending_up,5
603,39294.77992846837,604,39530.54860803918,SELL,0.056238287023183106,-66.29613336389961,-0.6629613336389961,stop_loss,quiet,5
622,38749.02484651381,623,38516.530697434726,BUY,0.056688184906796536,-65.89835656371622,-0.6589835656371622,stop_loss,quiet,5
625,38512.85033258026,629,37827.73512948896,SELL,0.037795734761935616,129.4721624870421,1.2947216248704212,stop_loss,trending_down,5
710,34123.11511950873,713,34079.967732251105,BUY,0.06474574900047088,-13.96804952704131,-0.1396804952704131,stop_loss,quiet,5
